iter	RMSE
246	102417.6789
247	102378.6575
248	102352.1976
249	102304.9167
250	102281.9105
251	102253.3761
252	102228.4179
253	102213.9643
254	102178.6211
255	102136.3733
256	102119.1198
257	102096.6887
258	102075.4182
259	102039.7579
260	102023.6683
261	101991.6718
262	101938.7261
263	101918.5064
264	101878.8108
265	101866.4979
266	101844.7805
267	101816.9341
268	101778.0946
269	101757.4656
270	101703.4654
271	101684.7367
272	101664.2659
273	101648.6523
274	101628.1066
275	101608.8782
276	101579.3197
277	101543.6441
278	101518.8868
279	101471.8079
280	101451.3389
281	101408.1156
282	101362.144
283	101346.2567
284	101332.9995
285	101310.3183
286	101275.751
287	101245.2061
288	101231.6206
289	101213.6168
290	101202.2136
291	101174.5006
292	101142.2596
293	101125.0961
294	101115.7281
295	101081.9283
296	101042.1504
297	101030.1381
298	101023.4039
299	101014.3956
300	101007.3503
301	100965.9106
302	100952.1626
303	100923.6146
304	100910.3336
305	100899.6618
306	100862.4661
307	100854.1133
308	100813.1034
309	100776.1229
310	100752.0643
311	100703.451
312	100697.7242
313	100664.3263
314	100584.6877
315	100563.2004
316	100537.7851
317	100514.654
318	100490.3025
319	100466.2641
320	100429.9368
321	100395.8059
322	100385.7611
323	100364.4544
324	100353.9203
325	100331.9835
326	100301.5445
327	100268.7116
328	100255.7462
329	100241.5482
330	100230.7871
331	100212.1989
332	100198.7152
333	100175.5357
334	100167.5484
335	100155.6317
336	100128.3207
337	100098.9385
338	100060.409
339	100033.5691
340	100028.2553
341	99998.49147
342	99959.33394
343	99918.76182
344	99905.14078
345	99880.2328
346	99855.03946
347	99843.37194
348	99808.30214
349	99782.60808
350	99759.27518
351	99721.63751
352	99704.8103
353	99674.87666
354	99657.22702
355	99649.1955
356	99622.3218
357	99616.08328
358	99605.0284
359	99573.27515
360	99536.621
361	99510.16967
362	99470.13798
363	99443.34779
364	99435.83089
365	99426.10206
366	99401.92502
367	99377.65561
368	99366.67554
369	99341.92584
370	99337.30106
371	99318.74753
372	99311.97849
373	99289.8709
374	99267.54478
375	99252.9172
376	99233.87538
377	99215.54393
378	99190.44815
379	99161.15206
380	99124.61923
381	99096.10342
382	99079.40643
383	99050.04069
384	99036.97004
385	99024.00849
386	99010.30847
387	98980.70412
388	98964.73137
389	98938.76879
390	98918.61101
391	98899.59464
392	98879.65028
393	98868.12495
394	98856.46786
395	98830.12844
396	98808.37906
397	98791.59699
398	98779.64637
399	98767.26257
400	98750.08648
401	98732.43304
402	98707.47184
403	98701.77594
404	98686.98342
405	98634.1748
406	98600.54361
407	98556.03973
408	98539.23355
409	98526.09114
410	98516.59957
411	98505.09961
412	98497.21982
413	98484.29325
414	98467.10968
415	98456.31003
416	98448.32351
417	98434.06961
418	98422.30501
419	98398.91168
420	98386.99533
421	98350.34578
422	98344.3554
423	98331.10846
424	98272.497
425	98266.58967
426	98218.8716
427	98200.86597
428	98174.80912
429	98169.87136
430	98130.50514
431	98108.52732
432	98097.05541
433	98089.18058
434	98080.77204
435	98073.34512
436	98028.59977
437	98008.90867
438	97963.3273
439	97954.53572
440	97911.83597
441	97902.8873
442	97882.72914
443	97863.23213
444	97851.12434
445	97832.52655
446	97825.44221
447	97788.71181
448	97770.21956
449	97753.30349
450	97732.84819
451	97677.18076
452	97658.07448
453	97655.70638
454	97638.41018
455	97630.33639
456	97599.40632
457	97590.18504
458	97562.32688
459	97553.6444
460	97531.66847
461	97515.24575
462	97494.80449
463	97493.05093
464	97452.518
465	97404.25806
466	97384.45436
467	97375.28696
468	97360.79857
469	97356.36236
470	97342.95912
471	97333.66292
472	97307.30754
473	97301.27784
474	97262.01321
475	97253.70089
476	97246.74269
477	97237.26584
478	97217.36381
479	97202.00435
480	97195.23469
481	97184.33817
482	97149.91403
483	97132.71798
484	97127.59682
485	97111.62926
486	97099.70906
487	97077.81471
488	97060.18384
489	97045.44036
490	97025.69633
491	96993.30973
492	96988.42512
493	96983.8479
494	96949.13471
495	96903.43084
496	96901.43514
497	96880.92057
498	96874.71285
499	96872.82943
500	96864.28243
501	96856.10995
502	96838.87949
503	96830.16985
504	96822.59331
505	96792.5205
506	96784.62222
507	96767.99834
508	96757.73635
509	96713.81727
510	96704.88371
511	96673.68785
512	96665.34285
513	96649.89412
514	96636.83183
515	96630.77641
516	96619.94989
517	96590.04443
518	96562.01636
519	96553.01646
520	96549.89635
521	96544.71844
522	96533.76936
523	96520.58038
524	96500.52565
525	96484.27962
526	96465.13173
527	96423.13545
528	96417.15363
529	96411.4962
530	96395.77564
531	96386.60997
532	96373.85042
533	96328.05117
534	96240.96567
535	96239.20894
536	96233.66695
537	96212.71213
538	96130.7628
539	96087.58966
540	96045.74632
541	96040.18714
542	96031.50883
543	96020.27279
544	96009.14672
545	95982.84376
546	95972.8499
547	95962.82164
548	95935.27755
549	95930.53652
550	95907.7588
551	95875.07627
552	95872.82661
553	95865.96056
554	95861.23748
555	95852.33173
556	95849.95248
557	95844.86698
558	95829.80935
559	95821.81713
560	95781.71488
561	95781.10663
562	95775.8879
563	95765.55732
564	95752.04204
565	95737.7533
566	95731.53961
567	95718.50345
568	95695.149
569	95687.66497
570	95681.9585
571	95663.4003
572	95651.45936
573	95647.23539
574	95610.72925
575	95589.42891
576	95583.55232
577	95569.82378
578	95557.09213
579	95531.14494
580	95513.09027
581	95501.45302
582	95474.09533
583	95448.9408
584	95441.57845
585	95428.23652
586	95418.21578
587	95397.74701
588	95395.39517
589	95385.3479
590	95381.25562
591	95373.57881
592	95352.89323
593	95343.61526
594	95322.81067
595	95318.66049
596	95310.46965
597	95300.43318
598	95266.43843
599	95256.70891
600	95236.82745
601	95212.98369
602	95203.16029
603	95190.47069
604	95162.28373
605	95144.0381
606	95109.91599
607	95059.10991
608	95049.40189
609	95039.11549
610	95035.37225
611	95014.19988
612	94967.31419
613	94949.20644
614	94929.03366
615	94910.33327
616	94908.48704
617	94891.54633
618	94885.59204
619	94876.31767
620	94855.19426
621	94816.53898
622	94804.70443
623	94795.762
624	94776.67667
625	94735.03731
626	94718.0725
627	94700.53395
628	94697.05876
629	94696.47413
630	94689.40372
631	94677.729
632	94666.64923
633	94661.14951
634	94643.69907
635	94626.66956
636	94601.49202
637	94585.46221
638	94575.84796
639	94571.67194
640	94554.64306
641	94539.59524
642	94533.00658
643	94516.21162
644	94505.42122
645	94496.88215
646	94492.25411
647	94483.60179
648	94475.42805
649	94466.83072
650	94463.58046
651	94461.6647
652	94446.28834
653	94439.4222
654	94416.59536
655	94412.17406
656	94394.77925
657	94386.2467
658	94381.79016
659	94376.20288
660	94372.14436
661	94340.07248
662	94333.49681
663	94322.05549
664	94318.13755
665	94315.89959
666	94310.95437
667	94296.24144
668	94284.73164
669	94278.57508
670	94262.88806
671	94258.93556
672	94251.00692
673	94245.61552
674	94243.84259
675	94235.52654
676	94215.04139
677	94201.19977
678	94191.38865
679	94183.05783
680	94175.34045
681	94169.60701
682	94146.23457
683	94141.30864
684	94125.35579
685	94110.246
686	94103.91245
687	94097.59266
688	94097.03466
689	94092.5371
690	94092.00699
691	94081.25504
692	94078.5498
693	94070.87179
694	94070.34184
695	94067.15333
696	94063.53343
697	94060.54223
698	94045.73756
699	94039.28069
700	94021.33327
701	94013.30914
702	94005.91257
703	93986.35453
704	93982.62568
705	93979.23938
706	93973.468
707	93972.96742
708	93964.73593
709	93954.99256
710	93935.91205
711	93920.57472
712	93915.55343
713	93908.0328
714	93894.63403
715	93886.52158
716	93875.25097
717	93845.57456
718	93822.52587
719	93811.36858
720	93784.54044
721	93771.38978
722	93744.27498
723	93722.1237
724	93688.85894
725	93677.69479
726	93658.72092
727	93656.99885
728	93653.2424
729	93639.57815
730	93631.9322
731	93626.28528
732	93618.82801
733	93611.54696
734	93609.07196
735	93602.08278
736	93593.05181
737	93586.15578
738	93574.45307
739	93565.54171
740	93562.39659
741	93546.91651
742	93530.02234
743	93493.24149
744	93476.98675
745	93454.26018
746	93444.40447
747	93437.4271
748	93422.57501
749	93419.2944
750	93417.69519
751	93410.4196
752	93409.93123
753	93392.65777
754	93376.94646
755	93365.23714
756	93343.54248
757	93326.12847
758	93322.45211
759	93321.97486
760	93321.51066
761	93314.03477
762	93296.97066
763	93281.27311
764	93268.2299
765	93265.33135
766	93248.62233
767	93244.89847
768	93240.88007
769	93234.64726
770	93228.11826
771	93220.0507
772	93198.82513
773	93191.61434
774	93182.05691
775	93163.83949
776	93155.23184
777	93149.11396
778	93146.66132
779	93134.36403
780	93122.04234
781	93108.83525
782	93090.16773
783	93081.33958
784	93071.85587
785	93071.38869
786	93063.18807
787	93046.99711
788	93027.21002
789	93019.65416
790	93006.55404
791	93000.54312
792	92994.02868
793	92990.61425
794	92983.39056
795	92977.62897
796	92961.46274
797	92953.32936
798	92947.03719
799	92937.60095
800	92934.37529
801	92920.17765
802	92919.71982
803	92908.69622
804	92896.60043
805	92889.66231
806	92875.12397
807	92863.10443
808	92851.0776
809	92846.9767
810	92844.51251
811	92831.31254
812	92791.39576
813	92786.36698
814	92780.28365
815	92768.40748
816	92761.93852
817	92732.38054
818	92721.34301
819	92713.94276
820	92712.5392
821	92691.56265
822	92683.11499
823	92675.9502
824	92664.46237
825	92657.16318
826	92639.92898
827	92636.0699
828	92635.63535
829	92629.46952
830	92626.95374
831	92578.94456
832	92573.16547
833	92563.34456
834	92561.10616
835	92558.22651
836	92552.56782
837	92519.85016
838	92512.91217
839	92508.01203
840	92505.79602
841	92495.2045
842	92483.76855
843	92476.774
844	92471.87505
845	92462.27924
846	92445.253
847	92427.16256
848	92415.79563
849	92385.53835
850	92369.17774
851	92367.11587
852	92364.61342
853	92351.17443
854	92335.61621
855	92326.15531
856	92316.3931
857	92307.16923
858	92306.3877
859	92302.16956
860	92261.94708
861	92259.51631
862	92252.57036
863	92212.71814
864	92204.96555
865	92191.2153
866	92184.75752
867	92182.57115
868	92179.79806
869	92168.27388
870	92154.29494
871	92144.93267
872	92138.20752
873	92127.14817
874	92124.92886
875	92109.3097
876	92086.68386
877	92070.40414
878	92051.88562
879	92049.09001
880	92040.78003
881	92025.54707
882	92021.331
883	92008.71676
884	92004.43995
885	91994.27791
886	91993.8883
887	91981.22338
888	91973.6696
889	91973.29021
890	91971.28817
891	91964.79637
892	91943.67963
893	91931.43976
894	91929.78935
895	91925.42637
896	91919.00682
897	91906.3775
898	91900.53419
899	91860.80886
900	91853.56425
901	91818.0034
902	91816.1786
903	91813.13655
904	91796.38216
905	91790.50382
906	91776.47468
907	91776.10385
908	91768.52317
909	91766.88385
910	91759.98514
911	91752.13376
912	91737.76744
913	91734.59738
914	91732.20662
915	91731.81588
916	91726.19818
917	91702.8586
918	91691.28045
919	91674.82656
920	91669.3401
921	91659.10711
922	91640.86211
923	91638.15656
924	91628.0914
925	91627.73832
926	91627.39488
927	91600.16805
928	91592.4918
929	91592.15637
930	91581.74802
931	91573.29409
932	91543.14669
933	91530.70995
934	91525.63723
935	91511.55142
936	91490.48507
937	91473.72367
938	91422.2025
939	91420.30543
940	91392.7967
941	91379.69015
942	91378.19105
943	91366.2465
944	91363.99843
945	91347.36231
946	91345.7418
947	91343.31552
948	91329.55704
949	91319.09828
950	91308.02029
951	91300.56334
952	91286.78899
953	91261.0076
954	91258.55376
955	91244.72283
956	91240.73894
957	91235.728
958	91233.4966
959	91199.8138
960	91190.88092
961	91190.55549
962	91188.5748
963	91183.65568
964	91168.19599
965	91154.54367
966	91152.59467
967	91148.47578
968	91131.10026
969	91127.39675
970	91115.84718
971	91107.96976
972	91105.42799
973	91100.87242
974	91098.17754
975	91086.33151
976	91082.82866
977	91066.72899
978	91056.04078
979	91048.38758
980	91035.94953
981	91031.59338
982	91007.90309
983	90997.58348
984	90997.26615
985	90993.78326
986	90986.35883
987	90964.22438
988	90952.54034
989	90945.76467
990	90941.73345
991	90929.70254
992	90905.91006
993	90899.1176
994	90886.57826
995	90874.77011
996	90873.25275
997	90872.94258
998	90868.84354
999	90867.03366
