iter	Passed	Remaining
241	835	2616
242	838	2613
243	842	2611
244	847	2610
245	850	2607
246	854	2606
247	858	2602
248	863	2603
249	866	2599
250	869	2595
251	873	2592
252	876	2589
253	881	2589
254	885	2587
255	889	2584
256	892	2581
257	897	2580
258	901	2577
259	904	2575
260	908	2571
261	912	2568
262	915	2565
263	919	2562
264	922	2558
265	925	2555
266	929	2551
267	932	2547
268	936	2545
269	940	2542
270	944	2539
271	947	2536
272	951	2533
273	954	2529
274	958	2526
275	962	2523
276	965	2519
277	969	2516
278	972	2513
279	976	2511
280	980	2508
281	983	2504
282	987	2501
283	991	2498
284	994	2495
285	998	2491
286	1001	2489
287	1005	2485
288	1008	2482
289	1012	2478
290	1016	2476
291	1020	2473
292	1023	2469
293	1026	2466
294	1030	2462
295	1034	2459
296	1037	2456
297	1041	2452
298	1044	2449
299	1048	2446
300	1052	2443
301	1056	2440
302	1059	2437
303	1062	2433
304	1066	2430
305	1070	2427
306	1073	2424
307	1077	2420
308	1081	2417
309	1084	2414
310	1088	2412
311	1093	2410
312	1097	2409
313	1101	2406
314	1104	2401
315	1108	2398
316	1112	2396
317	1115	2393
318	1119	2389
319	1122	2386
320	1126	2382
321	1130	2379
322	1133	2376
323	1137	2372
324	1140	2369
325	1144	2366
326	1148	2364
327	1152	2361
328	1156	2358
329	1159	2354
330	1162	2350
331	1166	2346
332	1170	2343
333	1173	2340
334	1177	2336
335	1181	2334
336	1184	2331
337	1188	2328
338	1192	2324
339	1196	2322
340	1199	2318
341	1202	2314
342	1206	2310
343	1209	2307
344	1213	2303
345	1216	2299
346	1220	2296
347	1223	2292
348	1227	2289
349	1231	2287
350	1235	2284
351	1238	2280
352	1242	2277
353	1245	2273
354	1249	2271
355	1253	2267
356	1256	2263
357	1260	2260
358	1264	2257
359	1268	2254
360	1271	2251
361	1275	2248
362	1279	2245
363	1283	2242
364	1287	2239
365	1291	2236
366	1295	2233
367	1298	2229
368	1302	2226
369	1305	2222
370	1308	2219
371	1312	2215
372	1315	2211
373	1319	2208
374	1322	2204
375	1326	2201
376	1330	2199
377	1334	2196
378	1338	2193
379	1342	2190
380	1345	2186
381	1349	2183
382	1353	2179
383	1356	2175
384	1360	2172
385	1363	2169
386	1367	2165
387	1370	2162
388	1374	2159
389	1378	2155
390	1381	2152
391	1385	2149
392	1389	2146
393	1393	2143
394	1396	2139
395	1400	2135
396	1403	2132
397	1407	2128
398	1411	2125
399	1414	2121
400	1418	2118
401	1422	2115
402	1426	2113
403	1429	2109
404	1433	2106
405	1437	2102
406	1440	2099
407	1444	2095
408	1448	2092
409	1451	2088
410	1454	2084
411	1458	2081
412	1462	2079
413	1466	2075
414	1469	2071
415	1473	2068
416	1477	2065
417	1481	2062
418	1484	2058
419	1489	2056
420	1492	2052
421	1496	2049
422	1499	2045
423	1503	2042
424	1506	2038
425	1510	2035
426	1513	2031
427	1517	2027
428	1521	2024
429	1524	2021
430	1528	2018
431	1532	2014
432	1536	2011
433	1539	2008
434	1543	2004
435	1547	2001
436	1550	1997
437	1554	1994
438	1557	1990
439	1561	1987
440	1565	1983
441	1568	1980
442	1572	1976
443	1575	1973
444	1580	1970
445	1584	1967
446	1588	1964
447	1591	1960
448	1595	1957
449	1599	1954
450	1602	1951
451	1606	1947
452	1610	1944
453	1613	1940
454	1618	1938
455	1621	1934
456	1625	1931
457	1629	1928
458	1633	1925
459	1637	1921
460	1641	1919
461	1645	1915
462	1648	1912
463	1652	1908
464	1655	1904
465	1659	1901
466	1662	1897
467	1666	1893
468	1669	1890
469	1673	1886
470	1678	1884
471	1681	1881
472	1685	1878
473	1688	1874
474	1692	1870
475	1696	1867
476	1699	1863
477	1703	1859
478	1706	1855
479	1709	1852
480	1713	1848
481	1716	1844
482	1720	1841
483	1724	1838
484	1727	1834
485	1731	1831
486	1735	1827
487	1738	1824
488	1742	1820
489	1745	1816
490	1749	1813
491	1753	1810
492	1757	1806
493	1760	1802
494	1763	1799
495	1767	1795
496	1770	1792
497	1774	1788
498	1778	1785
499	1781	1781
500	1785	1778
501	1789	1775
502	1793	1771
503	1796	1768
504	1800	1764
505	1803	1760
506	1807	1757
507	1811	1754
508	1815	1750
509	1818	1747
510	1823	1745
511	1827	1741
512	1831	1738
513	1834	1734
514	1838	1731
515	1844	1729
516	1847	1726
517	1851	1723
518	1855	1719
519	1859	1716
520	1862	1712
521	1866	1708
522	1870	1705
523	1873	1701
524	1877	1699
525	1882	1696
526	1886	1692
527	1889	1689
528	1893	1685
529	1897	1682
530	1900	1678
531	1904	1674
532	1907	1671
533	1911	1667
534	1914	1664
535	1918	1660
536	1921	1656
537	1925	1653
538	1929	1650
539	1933	1646
540	1936	1643
541	1940	1639
542	1943	1636
543	1947	1632
544	1951	1629
545	1955	1625
546	1958	1622
547	1962	1618
548	1965	1614
549	1969	1611
550	1972	1607
551	1976	1604
552	1980	1600
553	1983	1597
554	1987	1593
555	1990	1589
556	1994	1585
557	1997	1582
558	2001	1578
559	2005	1576
560	2009	1572
561	2012	1568
562	2016	1565
563	2019	1561
564	2023	1557
565	2026	1554
566	2030	1550
567	2033	1546
568	2037	1542
569	2040	1539
570	2044	1535
571	2048	1532
572	2051	1528
573	2055	1525
574	2058	1521
575	2062	1518
576	2066	1515
577	2070	1511
578	2074	1508
579	2078	1505
580	2082	1501
581	2085	1498
582	2089	1494
583	2093	1490
584	2096	1487
585	2100	1484
586	2104	1480
587	2107	1476
588	2111	1473
589	2115	1470
590	2119	1466
591	2123	1463
592	2127	1459
593	2131	1456
594	2134	1452
595	2138	1449
596	2141	1445
597	2145	1442
598	2148	1438
599	2152	1434
600	2156	1431
601	2160	1428
602	2163	1424
603	2167	1421
604	2171	1417
605	2175	1414
606	2178	1410
607	2182	1407
608	2186	1403
609	2190	1400
610	2193	1396
611	2197	1393
612	2201	1389
613	2205	1386
614	2209	1383
615	2213	1379
616	2216	1376
617	2220	1372
618	2224	1368
619	2228	1365
620	2231	1361
621	2234	1358
622	2238	1354
623	2241	1350
624	2245	1347
625	2249	1343
626	2252	1340
627	2256	1336
628	2260	1333
629	2263	1329
630	2267	1325
631	2271	1322
632	2275	1319
633	2278	1315
634	2282	1311
635	2285	1308
636	2289	1304
637	2293	1301
638	2296	1297
639	2300	1293
640	2304	1290
641	2307	1286
642	2312	1283
643	2316	1280
644	2319	1276
645	2323	1273
646	2327	1269
647	2330	1266
648	2334	1262
649	2338	1259
650	2341	1255
651	2344	1251
652	2348	1247
653	2352	1244
654	2356	1241
655	2360	1237
656	2364	1234
657	2368	1231
658	2372	1227
659	2376	1224
660	2379	1220
661	2383	1216
662	2386	1213
663	2390	1209
664	2394	1206
665	2397	1202
666	2401	1198
667	2404	1195
668	2408	1191
669	2411	1187
670	2415	1184
671	2418	1180
672	2422	1177
673	2426	1173
674	2429	1169
675	2432	1166
676	2436	1162
677	2440	1158
678	2443	1155
679	2446	1151
680	2451	1148
681	2455	1144
682	2459	1141
683	2462	1137
684	2466	1134
685	2469	1130
686	2473	1126
687	2477	1123
688	2480	1119
689	2484	1116
690	2487	1112
691	2491	1108
692	2494	1105
693	2498	1101
694	2502	1098
695	2505	1094
696	2509	1091
697	2513	1087
698	2517	1084
699	2521	1080
700	2524	1076
701	2528	1073
702	2532	1069
703	2535	1066
704	2539	1062
705	2542	1058
706	2546	1055
707	2549	1051
708	2553	1047
709	2556	1044
710	2561	1041
711	2565	1037
712	2568	1033
713	2572	1030
714	2576	1026
715	2579	1023
716	2583	1019
717	2586	1015
718	2590	1012
719	2593	1008
720	2597	1005
721	2600	1001
722	2604	997
723	2607	994
724	2611	990
725	2615	987
726	2619	983
727	2622	979
728	2626	976
729	2630	972
730	2633	969
731	2637	965
732	2640	961
733	2644	958
734	2648	954
735	2652	951
736	2655	947
737	2659	944
738	2663	940
739	2667	937
740	2671	933
741	2674	929
742	2677	926
743	2681	922
744	2684	918
745	2688	915
746	2691	911
747	2695	908
748	2698	904
749	2702	900
750	2706	897
751	2709	893
752	2713	890
753	2716	886
754	2719	882
755	2723	879
756	2727	875
757	2731	871
758	2735	868
759	2738	864
760	2742	861
761	2745	857
762	2749	853
763	2752	850
764	2756	846
765	2760	843
766	2764	839
767	2768	836
768	2771	832
769	2775	829
770	2778	825
771	2782	821
772	2786	818
773	2789	814
774	2793	811
775	2798	807
776	2802	804
777	2806	800
778	2810	797
779	2814	793
780	2818	790
781	2822	786
782	2826	783
783	2829	779
784	2833	776
785	2836	772
786	2839	768
787	2843	764
788	2846	761
789	2850	757
790	2854	754
791	2857	750
792	2861	746
793	2866	743
794	2869	739
795	2873	736
796	2876	732
797	2880	729
798	2884	725
799	2887	721
800	2891	718
801	2895	714
802	2898	711
803	2902	707
804	2906	703
805	2909	700
806	2913	696
807	2916	693
808	2920	689
809	2924	686
810	2928	682
811	2931	678
812	2935	675
813	2939	671
814	2942	667
815	2946	664
816	2949	660
817	2954	657
818	2958	653
819	2962	650
820	2966	646
821	2970	643
822	2974	639
823	2978	636
824	2982	632
825	2987	629
826	2990	625
827	2994	622
828	2998	618
829	3002	614
830	3005	611
831	3009	607
832	3013	604
833	3016	600
834	3020	596
835	3023	593
836	3027	589
837	3030	585
838	3034	582
839	3038	578
840	3042	575
841	3046	571
842	3050	568
843	3053	564
844	3057	560
845	3061	557
846	3065	553
847	3068	550
848	3072	546
849	3076	542
850	3080	539
851	3083	535
852	3087	532
853	3091	528
854	3095	524
855	3098	521
856	3103	517
857	3106	514
858	3110	510
859	3113	506
860	3117	503
861	3120	499
862	3124	495
863	3127	492
864	3130	488
865	3134	485
866	3138	481
867	3142	477
868	3145	474
869	3149	470
870	3153	467
871	3158	463
872	3161	459
873	3165	456
874	3168	452
875	3171	448
876	3175	445
877	3179	441
878	3183	438
879	3186	434
880	3190	430
881	3194	427
882	3197	423
883	3201	420
884	3204	416
885	3208	412
886	3211	409
887	3215	405
888	3219	401
889	3222	398
890	3225	394
891	3229	391
892	3233	387
893	3237	383
894	3240	380
895	3244	376
896	3248	372
897	3251	369
898	3255	365
899	3258	362
900	3262	358
901	3266	354
902	3270	351
903	3273	347
904	3277	344
905	3281	340
906	3284	336
907	3288	333
908	3292	329
909	3295	325
910	3299	322
911	3303	318
912	3306	315
913	3310	311
914	3313	307
915	3317	304
916	3320	300
917	3323	296
918	3327	293
919	3331	289
920	3335	286
921	3338	282
922	3342	278
923	3345	275
924	3350	271
925	3353	267
926	3356	264
927	3360	260
928	3363	257
929	3366	253
930	3370	249
931	3373	246
932	3377	242
933	3381	238
934	3384	235
935	3389	231
936	3392	228
937	3396	224
938	3400	220
939	3403	217
940	3407	213
941	3411	210
942	3415	206
943	3418	202
944	3421	199
945	3425	195
946	3429	191
947	3432	188
948	3436	184
949	3439	181
950	3443	177
951	3447	173
952	3451	170
953	3454	166
954	3458	162
955	3461	159
956	3465	155
957	3469	152
958	3472	148
959	3477	144
960	3480	141
961	3483	137
962	3487	134
963	3491	130
964	3495	126
965	3498	123
966	3502	119
967	3506	115
968	3509	112
969	3513	108
970	3516	105
971	3520	101
972	3524	97
973	3527	94
974	3531	90
975	3535	86
976	3538	83
977	3542	79
978	3546	76
979	3550	72
980	3553	68
981	3557	65
982	3560	61
983	3564	57
984	3567	54
985	3571	50
986	3574	47
987	3578	43
988	3582	39
989	3585	36
990	3589	32
991	3593	28
992	3596	25
993	3600	21
994	3604	18
995	3607	14
996	3611	10
997	3614	7
998	3618	3
999	3621	0
